taxon_id	input	rank
3000295	Eptatretus astrolabium	species
50612	Eptatretus atami	species
2766998	Eptatretus bobwisneri	species
7764	Eptatretus burgeri	species
3000296	Eptatretus caribbeaus	species
2968235	Eptatretus carlhubbsi	species
179979	Eptatretus cheni	species
295021	Eptatretus chinensis	species
78394	Eptatretus cirrhatus	species
1350219	Eptatretus cryptus	species
418109	Eptatretus deani	species
1932029	Eptatretus luzonicus	species
3000297	Eptatretus fritzi	species
1350222	Eptatretus goliath	species
418108	Eptatretus longipinnis	species
2766999	Eptatretus mccoskeri	species
2364401	Eptatretus menezesi	species
1314837	Eptatretus minor	species
179980	Eptatretus nelsoni	species
7767	Eptatretus okinoseanus	species
1350220	Eptatretus poicilus	species
179981	Eptatretus sheni	species
7765	Eptatretus stoutii	species
418111	Eptatretus strickrotti	species
179982	Eptatretus taiwanae	species
2152965	Eptatretus walkeri	species
3000299	Eptatretus wayuu	species
94968	Eptatretus yangi	species
1314853	Myxine affinis	species
458586	Myxine australis	species
1003761	Myxine capensis	species
179978	Myxine circifrons	species
1932030	Myxine fernholmi	species
179983	Myxine formosana	species
2558213	Myxine garmani	species
7769	Myxine glutinosa	species
3001186	Myxine ios	species
1314855	Myxine jespersenae	species
1314856	Myxine limosa	species
3001407	Myxine mcmillanae	species
2768229	Myxine paucidens	species
3002375	Myxine pequenoi	species
2364402	Myxine sotoi	species
1314861	Neomyxine biniplicata	species
1350221	Neomyxine caesiovitta	species
458588	Notomyxine tridentiger	species
1314881	Rubicundus lopheliae	species
1298582	Leptodactylodon axillaris	species
522637	Ansonia minuta	species
2735530	Melanophryniscus atroluteus	species
1598001	Platymantis banahao	species
507636	Hyloxalus leucophaeus	species
448420	Eleutherodactylus alcoae	species
317319	Gastrotheca marsupiata	species
1903085	Dendropsophus decipiens	species
318373	Osteopilus vastus	species
2728953	Trachycephalus dibernardoi	species
239355	Pithecopus oreades	species
1789967	Pseudopaludicola jaredi	species
2864258	Barygenys apodasta	species
2864237	Xenorhina arboricola	species
1367232	Kaloula kokacii	species
1104422	Nyctibatrachus petraeus	species
2546002	Ptychadena mapacha	species
325564	Meristogenys orphnocnemis	species
110113	Sylvirana maosonensis	species
2492419	Pseudophilautus viridis	species
2749689	Noblella coloma	species
448650	Pristimantis eurydactylus	species
448878	Pristimantis sanctaemartae	species
113391	Hynobius leechii	species
147898	Eurycea pterophila	species
255927	Plethodon virginia	species
377296	Leptodactylodon bicolor	species
47577	Ansonia muelleri	species
1843548	Melanophryniscus biancae	species
1978138	Sclerophrys latifrons	species
1598002	Cornufer batantae	species
92721	Allobates marchesianus	species
448421	Eleutherodactylus alticola	species
2737266	Dendropsophus delarivai	species
371710	Osteopilus wilderi	species
318374	Trachycephalus hadroceps	species
317380	Phyllomedusa atelopoides	species
143419	Hyperolius semidiscus	species
1646138	Pseudopaludicola llanera	species
1130112	Leptobrachella eos	species
2864227	Barygenys atra	species
1923901	Kaloula latidisca	species
1104423	Nyctibatrachus pillaii	species
88031	Ptychadena mascareniensis	species
2126976	Sylvirana montosa	species
130794	Pseudophilautus wynaadensis	species
448651	Pristimantis exoristus	species
448879	Pristimantis sanguineus	species
324338	Hynobius lichenatus	species
147899	Eurycea quadridigitata	species
255929	Plethodon websteri	species
522627	Ansonia penangensis	species
125252	Sclerophrys lemairii	species
1598003	Platymantis bayani	species
1257148	Allobates masniger	species
248954	Hyloxalus maculosus	species
448422	Eleutherodactylus amadeus	species
1329500	Gastrotheca microdiscus	species
2737259	Dendropsophus dutrai	species
2728947	Phyllodytes acuminatus	species
2728955	Trachycephalus helioi	species
860368	Pithecopus ayeaye	species
1477598	Pseudopaludicola mineira	species
1104424	Nyctibatrachus poocha	species
1983354	Ptychadena mossambica	species
519055	Meristogenys phaeomerus	species
1659781	Sylvirana mortenseni	species
1217876	Noblella heyeri	species
448652	Pristimantis factiosus	species
429345	Hynobius maoershanensis	species
147900	Eurycea rathbuni	species
154594	Plethodon wehrlei	species
1453774	Leptodactylodon boulengeri	species
35046	Sclerophrys maculata	species
448531	Eleutherodactylus amplinympha	species
317320	Gastrotheca monticola	species
150705	Dendropsophus ebraccatus	species
2728959	Phyllodytes amadoi	species
475450	Trachycephalus imitatrix	species
2034991	Pithecopus azureus	species
480179	Barygenys exsul	species
1035779	Kaloula mediolineata	species
1961690	Nyctibatrachus pulivijayani	species
1342834	Ptychadena nana	species
427937	Meristogenys poecilus	species
127021	Sylvirana nigrovittata	species
491156	Noblella lochites	species
448654	Pristimantis fallax	species
448880	Pristimantis satagius	species
154595	Plethodon welleri	species
1874848	Leptodactylodon bueanus	species
1273203	Melanophryniscus devincenzii	species
1978139	Sclerophrys mauritanica	species
472301	Platymantis bimaculatus	species
2739726	Allobates melanolaemus	species
448423	Eleutherodactylus andrewsi	species
1176406	Gastrotheca nebulanastes	species
150706	Dendropsophus elegans	species
2728969	Phytotriades auratus	species
248881	Trachycephalus jordani	species
860369	Phyllomedusa bahiana	species
881288	Hyperolius spatzi	species
1477599	Pseudopaludicola murundu	species
326991	Barygenys flavigularis	species
480215	Xenorhina bouwensi	species
1354885	Kaloula nonggangensis	species
1961691	Nyctibatrachus radcliffei	species
1342835	Ptychadena neumanni	species
684668	Meristogenys stenocephalus	species
2126977	Sylvirana roberti	species
690711	Pseudophilautus zorro	species
2546218	Pristimantis saturninoi	species
312229	Hynobius naevius	species
147901	Eurycea sosorum	species
8337	Plethodon yonahlossee	species
1453775	Leptodactylodon erythrogaster	species
522630	Ansonia platysoma	species
1673213	Melanophryniscus dorsalis	species
1978140	Sclerophrys pantherina	species
2135375	Allobates myersi	species
448399	Eleutherodactylus angustidigitorum	species
